dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.368559,5.565925,0.000024,0.004856,0.485641,48.564103,0.000675
0.010000,1.368556,5.565925,0.000027,0.000259,-0.459711,-94.535183,0.000642
0.010000,1.368550,5.565925,0.000033,0.000583,0.032402,49.211287,0.000567
0.010000,1.368540,5.565925,0.000043,0.001037,0.045333,1.293087,0.000434
0.010000,1.368524,5.565925,0.000059,0.001619,0.058218,1.288491,0.000226
0.010000,1.368716,5.565925,0.000251,0.019222,1.760267,170.204908,6.283112
0.010000,1.369874,5.565925,0.001410,0.115816,9.659462,789.919500,6.282704
0.010000,1.371387,5.565924,0.002922,0.151276,3.545994,-611.346751,6.282173
0.010000,1.373302,5.565921,0.004837,0.191469,4.019304,47.330917,6.281503
0.010000,1.375642,5.565916,0.007177,0.234034,4.256461,23.715743,6.280685
0.010000,1.378408,5.565908,0.009944,0.276608,4.257398,0.093720,6.279722
0.010000,1.381600,5.565895,0.013135,0.319194,4.258677,0.127902,6.278615
0.010000,1.385218,5.565876,0.016753,0.361793,4.259883,0.120583,6.277365
0.010000,1.389262,5.565850,0.020797,0.404407,4.261380,0.149677,6.275974
0.010000,1.393732,5.565814,0.025268,0.447037,4.263027,0.164721,6.274445
0.010000,1.398629,5.565767,0.030165,0.489689,4.265132,0.210494,6.272780
0.010000,1.403952,5.565707,0.035488,0.532358,4.266908,0.177576,6.270982
0.010000,1.409702,5.565631,0.041239,0.575051,4.269275,0.236754,6.269053
0.010000,1.415879,5.565538,0.047416,0.617768,4.271720,0.244509,6.266996
0.010000,1.422483,5.565424,0.054022,0.660510,4.274266,0.254561,6.264816
0.010000,1.429514,5.565286,0.061054,0.703282,4.277175,0.290890,6.262515
0.010000,1.436973,5.565123,0.068515,0.746083,4.280095,0.291966,6.260098
0.010000,1.444860,5.564931,0.076404,0.788917,4.283356,0.326138,6.257568
0.010000,1.453175,5.564707,0.084722,0.831784,4.286733,0.337670,6.254930
0.010000,1.461918,5.564448,0.093469,0.874687,4.290294,0.356170,6.252189
0.010000,1.471090,5.564150,0.102645,0.917629,4.294171,0.387679,6.249350
0.010000,1.480690,5.563811,0.112251,0.960610,4.298116,0.394497,6.246416
0.010000,1.490719,5.563427,0.122288,1.003633,4.302294,0.417791,6.243395
0.010000,1.501177,5.562995,0.132755,1.046700,4.306750,0.445637,6.240292
0.010000,1.512064,5.562510,0.143653,1.089813,4.311276,0.452540,6.237112
0.010000,1.523381,5.561970,0.154983,1.132974,4.316134,0.485825,6.233862
0.010000,1.535128,5.561370,0.166745,1.176185,4.321091,0.495674,6.230548
0.010000,1.547304,5.560708,0.178939,1.219448,4.326294,0.520344,6.227177
0.010000,1.559911,5.559980,0.191567,1.262765,4.331716,0.542165,6.223755
0.010000,1.572948,5.559181,0.204628,1.306138,4.337273,0.555676,6.220291
0.010000,1.586415,5.558309,0.218124,1.349569,4.343076,0.580355,6.216791
0.010000,1.600313,5.557360,0.232054,1.393059,4.349051,0.597531,6.213263
0.010000,1.614643,5.556331,0.246420,1.436612,4.355220,0.616892,6.209715
0.010000,1.629403,5.555218,0.261223,1.480227,4.361584,0.636369,6.206155
0.010000,1.644595,5.554018,0.276462,1.523909,4.368131,0.654679,6.202592
0.010000,1.660218,5.552728,0.292138,1.567657,4.374843,0.671181,6.199034
0.010000,1.676273,5.551345,0.308253,1.611475,4.381742,0.689973,6.195490
0.010000,1.692761,5.549866,0.324807,1.655363,4.388853,0.711027,6.191970
0.010000,1.709681,5.548289,0.341800,1.699324,4.396099,0.724654,6.188482
0.010000,1.727033,5.546610,0.359234,1.743359,4.403537,0.743779,6.185036
0.010000,1.744819,5.544828,0.377108,1.787471,4.411119,0.758231,6.181642
0.010000,1.763038,5.542941,0.395425,1.831660,4.418902,0.778216,6.178310
0.010000,1.781691,5.540946,0.414184,1.875928,4.426820,0.791845,6.175050
